file,mean_path_length,mean_economy_of_motion,mean_rms_jerk,mean_smoothness_score,mean_duration_s
Suturing_B001.txt,1.7935741006028798,1.850472442125,1.9750567557832968,-13.725428251911655,187.8
Suturing_B002.txt,1.0563490496301076,1.1626193140312504,2.1898357232947467,-12.985386148712902,114.8
Suturing_B003.txt,1.013138236257833,0.9722085623437505,1.938008890658067,-12.91909187001516,114.36666666666666
Suturing_B004.txt,1.1868310217707783,1.3689069778125007,2.4841222385928057,-12.873324696039482,108.53333333333333
Suturing_B005.txt,1.240881108903103,1.8726854340937513,3.008192081199204,-12.610368004198332,94.9
Suturing_C001.txt,1.5410677942278468,3.8006057089687513,3.85035907825916,-12.945474369926409,105.96666666666667
Suturing_C002.txt,1.3153651365729482,3.228282730687499,3.4043441384919566,-13.046098011404858,108.86666666666666
Suturing_C003.txt,1.4483803206297856,3.204283452468751,3.5588082616928625,-12.92385556802441,105.33333333333333
Suturing_C004.txt,1.3944978650298472,3.8935686968437504,4.581180217296066,-12.553878181269116,82.6
Suturing_C005.txt,1.310160148698822,2.7769007098125007,3.7433672630882384,-12.513542885168423,85.86666666666666
Suturing_D001.txt,0.9973270617421375,3.6791993761875,4.441422634505564,-13.082819948571752,93.3
Suturing_D002.txt,0.9196384893775349,1.1912916012187507,2.421702762973082,-12.054565966636387,73.76666666666667
Suturing_D003.txt,1.089414353410055,1.7638547833125007,2.8081499580330553,-12.15344291421437,77.2
Suturing_D004.txt,1.3886791393097047,2.3319812334375003,3.0887507231058953,-12.469333723044475,91.36666666666666
Suturing_D005.txt,0.8567438410866293,1.1364163514999996,2.7065022033846855,-11.641224323173887,59.266666666666666
Suturing_E001.txt,0.9327437589548019,1.1525373030937502,2.2011068012844364,-13.232947788576539,119.73333333333333
Suturing_E002.txt,0.8665869758336243,0.8519122223437503,1.9066166670489442,-12.640433216006556,98.23333333333333
Suturing_E003.txt,0.7300538224526665,0.6918020797499997,1.8057302207460655,-12.416010112423926,86.8
Suturing_E004.txt,0.8164086583888466,0.7328403660937501,1.7379901325126488,-12.590791661012618,97.5
Suturing_E005.txt,0.7234256017266498,0.6095802225937499,1.785180432988974,-12.300537544134885,82.73333333333333
Suturing_F001.txt,1.3397675742975736,2.7405976320000005,3.1957140672297255,-12.611325589789711,94.56666666666666
Suturing_F002.txt,1.0375790193696528,1.9839418635937505,3.02550092546417,-12.320459831848602,79.13333333333333
Suturing_F003.txt,1.1199062261764228,2.1702340546875,3.2148579181590713,-12.187569484344653,75.46666666666667
Suturing_F004.txt,1.1294828177368446,2.023553183906251,3.060991395146905,-12.255234683547847,79.06666666666666
Suturing_F005.txt,1.0664500513806336,2.0748285253125007,3.363789229439082,-11.9924611081295,67.93333333333334
Suturing_G001.txt,2.2877278137681456,2.3248986052500005,1.7355972185254358,-14.61964042235531,300.3666666666667
Suturing_G002.txt,1.0472196220693002,1.0422901023749978,1.9629675782411211,-12.85446651799138,112.6
Suturing_G003.txt,1.377241318178274,1.463583183187499,1.8250032634450712,-13.674489146454953,173.66666666666666
Suturing_G004.txt,0.8507944967414203,0.7692932297812494,1.9819195661714524,-12.405047077663783,88.3
Suturing_G005.txt,0.6999997027199929,0.6607976810625007,1.9047119596551094,-12.358172648659448,81.76666666666667
Suturing_H001.txt,1.859596591243141,2.886629440500001,2.381854377762778,-13.865939408652523,188.43333333333334
Suturing_H002.txt,0.5151824296228789,0.4547325242812504,1.9221348117301464,-11.324024300901982,49.733333333333334
Suturing_H003.txt,1.258465743901276,2.0721468743437494,2.6464806127545586,-12.96728787524744,113.13333333333333
Suturing_H004.txt,1.4484011017816834,1.9643035545000007,2.3837554046584293,-13.242398473560556,136.43333333333334
Suturing_H005.txt,1.182259769183383,1.8391044549374995,2.437896238636937,-12.981642317691133,114.5
Suturing_I001.txt,1.2984453668134623,1.5588645429375,2.0860915107769955,-13.357404475773343,143.83333333333334
Suturing_I002.txt,1.483689240080707,1.8717204211874994,2.3049118749787594,-13.38323602845372,147.03333333333333
Suturing_I003.txt,1.3092160504113441,1.639714716562501,2.150968169071171,-13.356834626746537,142.76666666666665
Suturing_I004.txt,1.4697540626593382,4.923202898531249,4.59820991682928,-13.554098924834914,124.3
Suturing_I005.txt,1.5481299987440293,2.3266532677500003,2.6837616243866016,-13.075355292996495,125.73333333333333
