group,target,n,spearman_rho,pearson_r,abs_spearman_rho,abs_pearson_r
suturing,time_and_motion,39,0.2593956186384472,0.20365326999063899,0.2593956186384472,0.20365326999063899
suturing,respect_for_tissue,39,-0.17809187591884373,-0.2118247745852541,0.17809187591884373,0.2118247745852541
suturing,flow_of_operation,39,0.15724917838975908,0.10954451150103332,0.15724917838975908,0.10954451150103332
suturing,quality_of_final_product,39,0.14128568589966245,0.10115945903178557,0.14128568589966245,0.10115945903178557
suturing,grs,39,0.10418896431702605,0.018257358244659395,0.10418896431702605,0.018257358244659395
suturing,suture_needle_handling,39,-0.06020335760289537,-0.08656873106996106,0.06020335760289537,0.08656873106996106
suturing,overall_performance,39,0.03600967723542281,-0.01685727719166549,0.03600967723542281,0.01685727719166549
needle_passing,time_and_motion,28,-0.4862055773706189,-0.4439539999430424,0.4862055773706189,0.4439539999430424
needle_passing,quality_of_final_product,28,-0.34058220444929727,-0.3235109696598271,0.34058220444929727,0.3235109696598271
needle_passing,flow_of_operation,28,-0.33240223499116006,-0.2994374442983006,0.33240223499116006,0.2994374442983006
needle_passing,grs,28,-0.29166969475762294,-0.31733228168804267,0.29166969475762294,0.31733228168804267
needle_passing,overall_performance,28,-0.23361829517085347,-0.2190658426578231,0.23361829517085347,0.2190658426578231
needle_passing,suture_needle_handling,28,-0.22993364516390963,-0.22269792782947906,0.22993364516390963,0.22269792782947906
needle_passing,respect_for_tissue,28,-0.1663851993555612,-0.1759519076354735,0.1663851993555612,0.1759519076354735
knot_tying,flow_of_operation,36,0.6486842629737943,0.6311687442672028,0.6486842629737943,0.6311687442672028
knot_tying,quality_of_final_product,36,0.6238510051042017,0.6040562232890575,0.6238510051042017,0.6040562232890575
knot_tying,grs,36,0.6074327130185609,0.6123444805048146,0.6074327130185609,0.6123444805048146
knot_tying,time_and_motion,36,0.5939305531098578,0.5840657948631689,0.5939305531098578,0.5840657948631689
knot_tying,overall_performance,36,0.569234072218725,0.543616036048266,0.569234072218725,0.543616036048266
knot_tying,respect_for_tissue,36,0.5307345391635762,0.49799598391954936,0.5307345391635762,0.49799598391954936
knot_tying,suture_needle_handling,36,0.43339197688475634,0.414768031947019,0.43339197688475634,0.414768031947019
