group,feature,target,n,spearman_rho,pearson_r,abs_spearman_rho,abs_pearson_r
suturing,mean_duration_s,flow_of_operation,39,-0.4044367743181069,-0.39745662479614,0.4044367743181069,0.39745662479614
suturing,mean_smoothness_score,flow_of_operation,39,0.3737927882608549,0.36896762993430515,0.3737927882608549,0.36896762993430515
suturing,mean_rms_jerk,flow_of_operation,39,0.3434680103916993,0.35025936359236204,0.3434680103916993,0.35025936359236204
suturing,mean_economy_of_motion,flow_of_operation,39,0.2239777453142896,0.2313472618864219,0.2239777453142896,0.2313472618864219
suturing,mean_path_length,flow_of_operation,39,-0.07980204702409369,-0.1702204734462889,0.07980204702409369,0.1702204734462889
suturing,mean_rms_jerk,grs,39,0.36185656032818947,0.386695338412394,0.36185656032818947,0.386695338412394
suturing,mean_duration_s,grs,39,-0.34540391851702845,-0.361193396172245,0.34540391851702845,0.361193396172245
suturing,mean_smoothness_score,grs,39,0.30102240943383485,0.3054002756982646,0.30102240943383485,0.3054002756982646
suturing,mean_economy_of_motion,grs,39,0.23937578240065746,0.28283056325740474,0.23937578240065746,0.28283056325740474
suturing,mean_path_length,grs,39,-0.054842139370536704,-0.13698386559914236,0.054842139370536704,0.13698386559914236
suturing,mean_rms_jerk,overall_performance,39,0.37231014841490795,0.3886394462816459,0.37231014841490795,0.3886394462816459
suturing,mean_duration_s,overall_performance,39,-0.3038442045030859,-0.4366903685864129,0.3038442045030859,0.4366903685864129
suturing,mean_smoothness_score,overall_performance,39,0.2592988155294005,0.3392099435324093,0.2592988155294005,0.3392099435324093
suturing,mean_economy_of_motion,overall_performance,39,0.22846787805358001,0.24178802008195652,0.22846787805358001,0.24178802008195652
suturing,mean_path_length,overall_performance,39,-0.0301930560108035,-0.2088482775192463,0.0301930560108035,0.2088482775192463
suturing,mean_duration_s,quality_of_final_product,39,-0.2894802180313078,-0.15359560721201093,0.2894802180313078,0.15359560721201093
suturing,mean_economy_of_motion,quality_of_final_product,39,0.2520067031600443,0.27321507487711777,0.2520067031600443,0.27321507487711777
suturing,mean_rms_jerk,quality_of_final_product,39,0.2441684034878316,0.28043045010502293,0.2441684034878316,0.28043045010502293
suturing,mean_smoothness_score,quality_of_final_product,39,0.24180617618935651,0.16027195198005592,0.24180617618935651,0.16027195198005592
suturing,mean_path_length,quality_of_final_product,39,-0.005476072373737648,-0.02145876122542843,0.005476072373737648,0.02145876122542843
suturing,mean_rms_jerk,respect_for_tissue,39,0.14436101560771306,0.16884130518783225,0.14436101560771306,0.16884130518783225
