filename,experience_level,grs,respect_for_tissue,suture_needle_handling,time_and_motion,flow_of_operation,overall_performance,quality_of_final_product,file,mean_path_length,mean_economy_of_motion,mean_rms_jerk,mean_smoothness_score,mean_duration_s
Suturing_B001,N,13,3,2,1,2,2,3,Suturing_B001.txt,1.7935741006028798,1.850472442125,1.9750567557832968,-13.725428251911657,187.8
Suturing_B002,N,17,4,2,2,3,3,3,Suturing_B002.txt,1.0563490496301076,1.1626193140312504,2.1898357232947467,-12.985386148712902,114.8
Suturing_B003,N,14,3,2,2,2,2,3,Suturing_B003.txt,1.013138236257833,0.9722085623437504,1.938008890658067,-12.91909187001516,114.36666666666666
Suturing_B004,N,10,1,1,2,3,2,1,Suturing_B004.txt,1.1868310217707785,1.3689069778125007,2.4841222385928057,-12.873324696039482,108.53333333333332
Suturing_B005,N,12,2,2,1,3,2,2,Suturing_B005.txt,1.240881108903103,1.8726854340937515,3.008192081199204,-12.610368004198332,94.9
Suturing_C001,I,26,4,4,4,5,4,5,Suturing_C001.txt,1.5410677942278468,3.8006057089687513,3.85035907825916,-12.945474369926409,105.96666666666668
Suturing_C002,I,20,3,3,3,4,3,4,Suturing_C002.txt,1.3153651365729482,3.228282730687499,3.4043441384919566,-13.046098011404858,108.86666666666666
Suturing_C003,I,26,4,4,4,5,4,5,Suturing_C003.txt,1.4483803206297856,3.204283452468751,3.5588082616928625,-12.92385556802441,105.33333333333331
Suturing_C004,I,30,5,5,5,5,5,5,Suturing_C004.txt,1.3944978650298472,3.8935686968437504,4.581180217296066,-12.553878181269116,82.6
Suturing_C005,I,17,3,2,2,3,3,4,Suturing_C005.txt,1.310160148698822,2.7769007098125007,3.7433672630882384,-12.513542885168423,85.86666666666666
Suturing_D001,E,14,2,2,2,3,2,3,Suturing_D001.txt,0.9973270617421376,3.6791993761875,4.441422634505564,-13.082819948571752,93.3
Suturing_D002,E,18,2,3,3,4,3,3,Suturing_D002.txt,0.9196384893775348,1.1912916012187509,2.421702762973082,-12.054565966636387,73.76666666666667
Suturing_D003,E,14,2,2,2,3,2,3,Suturing_D003.txt,1.089414353410055,1.763854783312501,2.808149958033056,-12.15344291421437,77.2
Suturing_D004,E,8,1,1,1,2,1,2,Suturing_D004.txt,1.3886791393097049,2.3319812334375003,3.0887507231058957,-12.469333723044477,91.36666666666666
Suturing_D005,E,15,2,2,3,3,2,3,Suturing_D005.txt,0.8567438410866293,1.1364163514999996,2.706502203384685,-11.641224323173889,59.266666666666666
Suturing_E001,E,17,3,2,3,3,3,3,Suturing_E001.txt,0.932743758954802,1.1525373030937502,2.2011068012844364,-13.23294778857654,119.73333333333332
Suturing_E002,E,20,4,2,3,4,3,4,Suturing_E002.txt,0.8665869758336243,0.8519122223437503,1.906616667048944,-12.640433216006556,98.23333333333332
Suturing_E003,E,19,3,2,3,4,3,4,Suturing_E003.txt,0.7300538224526665,0.6918020797499997,1.8057302207460653,-12.416010112423926,86.8
Suturing_E004,E,19,3,2,3,4,3,4,Suturing_E004.txt,0.8164086583888466,0.7328403660937501,1.7379901325126488,-12.590791661012618,97.5
Suturing_E005,E,19,3,2,3,4,3,4,Suturing_E005.txt,0.7234256017266498,0.6095802225937499,1.785180432988974,-12.300537544134883,82.73333333333333
Suturing_F001,I,24,4,4,3,4,4,5,Suturing_F001.txt,1.3397675742975736,2.7405976320000005,3.195714067229725,-12.611325589789711,94.56666666666666
Suturing_F002,I,26,4,4,4,5,4,5,Suturing_F002.txt,1.0375790193696528,1.9839418635937505,3.02550092546417,-12.320459831848602,79.13333333333333
Suturing_F003,I,29,5,5,4,5,5,5,Suturing_F003.txt,1.1199062261764228,2.1702340546875,3.2148579181590717,-12.187569484344651,75.46666666666667
